class,ap,precision,recall,n_positive,scientific_name,common_name,class_name
47158son19,1.0,1.0,1.0,2,Insect son19,Insect sonotype19,Insecta
47158son20,,,,0,Insect son20,Insect sonotype20,Insecta
47158son21,1.0,1.0,1.0,22,Insect son21,Insect sonotype21,Insecta
47158son22,1.0,1.0,1.0,24,Insect son22,Insect sonotype22,Insecta
47158son23,1.0,1.0,1.0,24,Insect son23,Insect sonotype23,Insecta
47158son24,0.08932429377910334,0.0,0.0,24,Insect son24,Insect sonotype24,Insecta
47158son25,1.0,1.0,0.9166666666666666,24,Insect son25,Insect sonotype25,Insecta
476521,,,,0,Physalaemus nattereri,Cuyaba Dwarf Frog,Amphibia
516975,,,,0,Sapajus cay,Hooded Capuchin,Mammalia
517063,1.0,1.0,0.18,100,Pithecopus azureus,Southern Orange-legged Leaf Frog,Amphibia
555123,,,,0,Boana lundii,Usina Tree Frog,Amphibia
555145,,,,0,Boana punctata,Polka-dot Tree Frog,Amphibia
555146,1.0,1.0,1.0,72,Boana raniceps,Chaco Tree Frog,Amphibia
64898,,,,0,Ameerega picta,Yungas de la Paz Poison Frog,Amphibia
65377,,,,0,Dendropsophus minutus,Lesser Tree Frog,Amphibia
65380,1.0,1.0,0.8571428571428571,98,Dendropsophus nanus,Dwarf Tree Frog,Amphibia
66971,1.0,1.0,0.9444444444444444,36,Pseudis platensis,Paraguayan Swimming Frog,Amphibia
67107,0.20035642650675278,0.0,0.0,18,Rhinella diptycha,Rococo Toad,Amphibia
67252,,,,0,Trachycephalus typhonius,Milk Frog,Amphibia
70711,,,,0,Leptodactylus macrosternum,Cei's White-lipped Frog,Amphibia
738183,,,,0,Plecturocebus pallescens,White-coated Titi,Mammalia
74113,,,,0,Bos taurus,Highland,Mammalia
74580,,,,0,Mico melanurus,Black-tailed Marmoset,Mammalia
760266,,,,0,Prionacris erosa,Prionacris erosa,Insecta
ashgre1,,,,0,Hylophilus pectoralis,Ashy-headed Greenlet,Aves
astcra1,,,,0,Mustelirallus albicollis,Ash-throated Crake,Aves
bafcur1,,,,0,Crax fasciolata,Bare-faced Curassow,Aves
baffal1,,,,0,Micrastur ruficollis,Barred Forest-Falcon,Aves
banana,,,,0,Coereba flaveola,Bananaquit,Aves
barant1,,,,0,Thamnophilus doliatus,Barred Antshrike,Aves
batbel1,,,,0,Procnias nudicollis,Bare-throated Bellbird,Aves
baymac,,,,0,Ara ararauna,Blue-and-yellow Macaw,Aves
bbwduc,,,,0,Dendrocygna autumnalis,Black-bellied Whistling Duck,Aves
bcwfin2,,,,0,Microspingus melanoleucus,Black-capped Warbling Finch,Aves
bkcdon,,,,0,Donacobius atricapilla,Black-capped Donacobius,Aves
bkhpar,,,,0,Aratinga nenday,Nanday Parakeet,Aves
blchaw1,,,,0,Busarellus nigricollis,Black-collared Hawk,Aves
blheag1,,,,0,Spizaetus tyrannus,Black Hawk-Eagle,Aves
blttit1,,,,0,Tityra cayana,Black-tailed Tityra,Aves
bncfly,,,,0,Myiarchus tyrannulus,Brown-crested Flycatcher,Aves
bobfly1,,,,0,Megarynchus pitangua,Boat-billed Flycatcher,Aves
brcmar1,,,,0,Progne tapera,Brown-chested Martin,Aves
brnowl,,,,0,Tyto furcata,American Barn Owl,Aves
bucmot4,,,,0,Momotus momota,Amazonian Motmot,Aves
bucpar,,,,0,Thectocercus acuticaudatus,Blue-crowned Parakeet,Aves
bufpar,,,,0,Amazona aestiva,Turquoise-fronted Amazon,Aves
bunibi1,1.0,1.0,1.0,4,Theristicus caudatus,Buff-necked Ibis,Aves
burowl,,,,0,Athene cunicularia,Burrowing Owl,Aves
camfli1,,,,0,Colaptes campestris,Campo Flicker,Aves
chacha1,1.0,1.0,1.0,28,Ortalis canicollis,Chaco Chachalaca,Aves
chbmoc1,,,,0,Mimus saturninus,Chalk-browed Mockingbird,Aves
chobla1,,,,0,Gnorimopsar chopi,Chopi Blackbird,Aves
chvcon1,1.0,1.0,1.0,46,Conirostrum speciosum,Chestnut-vented Conebill,Aves
cibspi1,,,,0,Synallaxis hypospodia,Cinereous-breasted Spinetail,Aves
coffal1,,,,0,Micrastur semitorquatus,Collared Forest-Falcon,Aves
